,tweet,username,Clean Tweets
51,"@JackyNinjakitty Would you condider reading this, from @SimonChapman6 Emeritus Professor in Public Health at the Un… https://t.co/IiTIdLclUT",usertwentyfive,JackyNinjakitty Would you condider reading this from SimonChapman Emeritus Professor in Public Health at the Un… httpstcoIiTIdLclUT
52,"“Scientists have a moral obligation to warn humanity of any great threat,” said Dr Thomas Newsome, from the School… https://t.co/76tsOWEhDE",La_Elichola,“Scientists have a moral obligation to warn humanity of any great threat” said Dr Thomas Newsome from the School… httpstcotsOWEhDE
53,The FIRST® Robotics Scholarship is currently available to high-achieving international students who apply for an un… https://t.co/rYld3cfLox,SchHubAfrica,The FIRSTregistered Robotics Scholarship is currently available to highachieving international students who apply for an un… httpstcorYldcfLox
54,When I wanted to learn coaching it was important for me to get the best training possible. It took three and a half… https://t.co/XFetIRUcQC,DrJoLow,When I wanted to learn coaching it was important for me to get the best training possible It took three and a half… httpstcoXFetIRUcQC
55,"St Paul's College at the University of Sydney, May 2017

https://t.co/ewYhSEwt6f https://t.co/HVYrom4wdQ",sharnatweets,"St Pauls College at the University of Sydney May 

httpstcoewYhSEwtf httpstcoHVYromwdQ"
56,"The Research Centre for Children and Families at the university of Sydney, Camperdown has a fixed term 3 year full… https://t.co/rOzww5Jlgp",susan_collings,The Research Centre for Children and Families at the university of Sydney Camperdown has a fixed term  year full… httpstcorOzwwJlgp
57,ATMC is in association with #Federation_University provides Bachelors’ degree and Masters’ degree in the field of I… https://t.co/hKIgC6s0DV,SimplyVisas,ATMC is in association with FederationUniversity provides Bachelors’ degree and Masters’ degree in the field of I… httpstcohKIgCsDV
58,"Thank you Dallas, great shot! 

Thank you Sydney University School of Architecture &amp; Design @Sydney_ADP_Res for inv… https://t.co/FBBN5EEn33",jessaroo,"Thank you Dallas great shot 

Thank you Sydney University School of Architecture amp Design SydneyADPRes for inv… httpstcoFBBNEEn"
59,"Being overweight or obese in your 20s can take up to 10 years off your life, according to researchers at the University of Sydney.",JosephReidNZ,Being overweight or obese in your s can take up to  years off your life according to researchers at the University of Sydney
60,NEW REPORT: The unprecedented and rapid explosion in social media use in #Myanmar has left many young people vulner… https://t.co/HjQ6d2Cw3Z,SaveAusNews,NEW REPORT The unprecedented and rapid explosion in social media use in Myanmar has left many young people vulner… httpstcoHjQdCwZ
61,"At the next community forum on Mon 11 November Dr Ed Annand, Equine Vet from the University of Sydney will give pre… https://t.co/t4VJpsDxEA",wdillycouncil,At the next community forum on Mon  November Dr Ed Annand Equine Vet from the University of Sydney will give pre… httpstcotVJpsDxEA
62,This years Western Sydney University Catalyst West event has over 300 people re-imagining the future of Western Syd… https://t.co/wRIE1fVhSg,DonWright70,This years Western Sydney University Catalyst West event has over  people reimagining the future of Western Syd… httpstcowRIEfVhSg
63,The University of Sydney's Westmead Applied Research Centre has been awarded a $1 million grant from Google to ...… https://t.co/iMzt1QeMhO,AIHealth1,The University of Sydneys Westmead Applied Research Centre has been awarded a  million grant from Google to … httpstcoiMztQeMhO
64,"Lecturer / Senior Lecturer Physiotherapy - The University of Sydney - Sydney, Australia https://t.co/ZGjdjDGFt4",civicjobs_com,Lecturer  Senior Lecturer Physiotherapy  The University of Sydney  Sydney Australia httpstcoZGjdjDGFt
65,Researchers at University of Sydney are interested in hearing from clinicians about their views and experiences of… https://t.co/LULo09rt9F,COORDINARE_au,Researchers at University of Sydney are interested in hearing from clinicians about their views and experiences of… httpstcoLULortF
66,"@EndangeredFactz Because I am a student of the university of Sydney,and we need to write a news feature. I will wri… https://t.co/xOzAFwPONO",Joyce69774240,EndangeredFactz Because I am a student of the university of Sydneyand we need to write a news feature I will wri… httpstcoxOzAFwPONO
67,"Join the screening of Our Youth in Taiwan on 13 November at Macquarie University. This documentary, the winner of t… https://t.co/u2vb09Cqtf",csc_sydney,Join the screening of Our Youth in Taiwan on  November at Macquarie University This documentary the winner of t… httpstcouvbCqtf
